Date,Open,High,Low,Close,Volume,Change
2024-01-08,92000,92300,88800,88900,1397056,-0.0294759825
2024-01-09,89800,89900,88100,89100,1384540,0.00224971879
2024-01-10,89400,91100,88800,90500,1123770,0.0157126824
2024-01-11,91400,91800,89700,89700,1472306,-0.00883977901
2024-01-12,89400,89700,88000,88300,923693,-0.0156075808
2024-01-15,88700,91300,88400,90900,956800,0.0294450736
2024-01-16,90200,91200,89400,89800,836055,-0.0121012101
2024-01-17,89000,89500,87500,87900,961515,-0.0211581292
2024-01-18,87500,88500,86900,87300,840897,-0.00682593857
2024-01-19,88100,88700,87000,87600,831282,0.00343642612
2024-01-22,87700,88300,85900,87200,1060021,-0.00456621005
2024-01-23,87100,88100,86900,87900,917374,0.00802752294
2024-01-24,87500,88200,86800,87900,882524,0
2024-01-25,87100,93000,86100,93000,3397759,0.0580204778
2024-01-26,94600,95700,92700,94400,2383070,0.0150537634
2024-01-29,94700,100000,94400,99900,3200604,0.0582627119
2024-01-30,101000,103600,97800,98000,3463949,-0.019019019
2024-01-31,99400,103000,98500,102900,3793928,0.05
2024-02-01,102800,106800,101600,106300,3751067,0.0330417881
2024-02-02,110000,119900,108700,119500,8478816,0.124176858
2024-02-05,119600,121300,113700,118300,6726216,-0.010041841
2024-02-06,115600,118000,110900,111600,5169164,-0.056635672
2024-02-07,112000,115800,110100,114700,4555156,0.0277777778
2024-02-08,112700,114700,111300,113200,2788161,-0.0130775937
2024-02-13,116300,120000,115100,117200,3370853,0.035335689
2024-02-14,115600,118800,114700,117600,1530264,0.00341296928
2024-02-15,119300,119700,113100,113500,2518069,-0.0348639456
2024-02-16,113500,115900,111500,115800,2159137,0.0202643172
2024-02-19,115600,119300,115300,117600,1750923,0.0155440415
2024-02-20,115600,118700,113000,116100,1952950,-0.012755102
2024-02-21,116200,118600,115000,116800,1845668,0.0060292851
2024-02-22,116800,121900,115300,119300,3154400,0.0214041096
2024-02-23,119400,120700,118000,118400,2253030,-0.00754400671
2024-02-26,116000,116500,112300,114600,2748769,-0.0320945946
2024-02-27,111800,115800,111800,112600,2108829,-0.017452007
2024-02-28,112600,117800,112000,117700,1833765,0.0452930728
2024-02-29,118300,126900,117500,124500,5862121,0.0577740017
